                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2138,                 1.3991,                 0.8108,                0.95506,                0.69554,                0.63188,                0.69597,                0.43795,                0.69251,                 0.5837,                0.63631,                0.32388,                 1.3101,                  1.451,                0.88527,                0.97106,              0.0013253,              0.0013253,              0.0013253
                     25,                 1.2164,                 1.3815,                0.83328,                0.95747,                0.79264,                0.62911,                0.71646,                0.45169,                0.75503,                0.58048,                  0.643,                0.33319,                 1.2556,                 1.4491,                0.84501,                0.96516,              0.0013205,              0.0013205,              0.0013205
                     26,                 1.2039,                 1.3812,                0.83123,                0.94939,                0.73764,                0.59185,                0.69582,                0.45264,                0.68396,                0.54993,                0.63513,                0.33342,                 1.2246,                 1.4431,                0.91476,                0.95758,              0.0013158,              0.0013158,              0.0013158
                     27,                 1.1888,                   1.34,                0.80141,                  0.944,                0.74691,                0.66885,                0.72375,                0.48136,                 0.7032,                0.64402,                0.68998,                0.38688,                 1.1868,                 1.4064,                 0.8006,                0.94349,              0.0013111,              0.0013111,              0.0013111
                     28,                 1.1479,                 1.3488,                0.79039,                 0.9388,                0.70182,                0.66202,                0.71414,                0.46648,                0.74547,                0.58641,                0.67119,                0.37168,                 1.2146,                 1.4273,                 0.8085,                0.95498,              0.0013064,              0.0013064,              0.0013064
                     29,                 1.1968,                 1.3861,                0.81175,                 0.9456,                0.70401,                0.67116,                0.72095,                0.46491,                0.69403,                0.57679,                0.64178,                0.34611,                 1.2319,                 1.4472,                0.81035,                0.95157,              0.0013017,              0.0013017,              0.0013017
                     30,                 1.2001,                 1.3881,                0.79769,                0.94676,                 0.7172,                0.65387,                 0.7197,                0.47101,                0.70521,                0.58586,                0.65646,                0.34649,                 1.2062,                 1.4355,                0.82461,                0.94885,               0.001297,               0.001297,               0.001297
                     31,                 1.1626,                 1.3643,                0.75704,                0.94105,                0.60911,                0.63926,                0.63281,                0.39378,                0.59921,                0.56289,                0.56724,                0.27914,                 1.2398,                 1.4168,                 1.0043,                0.96251,              0.0012922,              0.0012922,              0.0012922
                     32,                 1.1896,                 1.3527,                0.78523,                0.95208,                0.66085,                0.59746,                0.63884,                0.41246,                0.63032,                0.57372,                0.58757,                0.30424,                 1.2473,                 1.4295,                0.93496,                0.97121,              0.0012875,              0.0012875,              0.0012875
                     33,                 1.1828,                 1.3579,                0.79119,                0.94894,                0.71184,                0.67232,                0.71858,                0.46781,                0.66616,                0.61932,                0.65067,                0.33563,                 1.2288,                   1.41,                0.82286,                0.95607,              0.0012828,              0.0012828,              0.0012828
                     34,                 1.1501,                 1.3556,                0.77952,                 0.9399,                0.73104,                0.66578,                0.71871,                0.48029,                0.73413,                0.59985,                0.65606,                0.35239,                  1.179,                 1.3604,                0.80568,                0.94412,              0.0012781,              0.0012781,              0.0012781
                     35,                 1.1668,                 1.3491,                0.77277,                0.94314,                0.74448,                0.67991,                0.73178,                  0.479,                 0.7191,                0.63575,                0.66576,                0.35477,                 1.1795,                 1.3859,                0.78565,                0.94501,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.1484,                 1.3111,                0.76537,                0.93563,                0.75641,                0.66487,                0.73109,                0.49361,                 0.7245,                0.61831,                0.67859,                0.37405,                 1.1676,                 1.3612,                0.81156,                0.93711,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.1404,                  1.334,                0.78951,                0.94398,                0.71351,                0.68855,                0.71704,                0.46471,                0.66993,                0.63476,                0.65283,                0.33876,                 1.1899,                 1.4194,                0.82767,                0.94648,               0.001264,               0.001264,               0.001264
