                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2732,                 1.4527,                0.89249,                0.95261,                0.70341,                0.61041,                0.66885,                0.42351,                0.66195,                0.58109,                0.62142,                0.32722,                 1.2768,                 1.5056,                0.89738,                0.94018,              0.0013668,              0.0013668,              0.0013668
                     25,                 1.2842,                 1.4749,                0.92314,                0.95376,                0.69246,                0.64807,                0.69018,                0.43057,                0.67926,                0.58913,                0.62791,                0.33664,                 1.2817,                 1.4896,                0.86557,                0.94825,              0.0013639,              0.0013639,              0.0013639
                     26,                 1.2574,                 1.4971,                0.89964,                0.94413,                 0.7003,                0.60666,                0.67532,                0.42716,                0.68134,                0.59592,                0.64211,                0.33353,                 1.3067,                 1.5025,                0.89506,                0.95171,              0.0013611,              0.0013611,              0.0013611
                     27,                 1.2579,                 1.4287,                0.88307,                0.94005,                0.71899,                0.60861,                0.69097,                0.45059,                0.68815,                0.58159,                0.63824,                 0.3454,                 1.2502,                 1.4605,                0.86216,                0.93897,              0.0013583,              0.0013583,              0.0013583
                     28,                  1.225,                 1.4358,                0.88934,                0.93534,                0.69634,                0.62662,                0.68564,                0.44061,                0.69642,                 0.5914,                0.65963,                0.35703,                 1.2535,                 1.5507,                0.88699,                0.95429,              0.0013554,              0.0013554,              0.0013554
                     29,                 1.2902,                 1.4884,                0.89985,                0.95124,                0.70961,                0.64879,                0.69569,                0.44036,                0.70573,                0.57958,                0.62727,                0.33666,                 1.2841,                 1.4796,                0.89727,                0.94579,              0.0013526,              0.0013526,              0.0013526
                     30,                 1.2852,                 1.4657,                0.88605,                0.94997,                0.68989,                 0.6021,                0.65919,                0.42263,                0.68835,                0.55798,                0.62541,                0.34317,                 1.2813,                 1.4569,                 0.9249,                0.95527,              0.0013498,              0.0013498,              0.0013498
                     31,                 1.2528,                 1.4601,                0.86483,                0.94636,                0.71825,                0.64513,                0.69936,                0.45763,                0.68836,                0.60914,                0.65515,                0.35122,                 1.2379,                 1.4188,                0.86116,                 0.9436,              0.0013469,              0.0013469,              0.0013469
                     32,                 1.2551,                 1.4317,                0.88318,                0.95024,                0.72066,                0.62652,                0.69019,                 0.4527,                0.71491,                0.57983,                0.65381,                0.35219,                 1.2496,                 1.4592,                0.86485,                0.94659,              0.0013441,              0.0013441,              0.0013441
                     33,                 1.2576,                 1.4394,                0.86249,                0.94551,                0.71061,                0.63322,                0.70232,                0.44599,                0.67343,                0.59418,                0.65067,                0.34177,                 1.3128,                 1.4887,                0.90932,                 0.9529,              0.0013413,              0.0013413,              0.0013413
                     34,                 1.2299,                 1.4245,                0.85591,                0.93919,                0.71457,                 0.6405,                0.70737,                0.46424,                0.68271,                0.60564,                0.66168,                 0.3498,                 1.2475,                 1.4468,                0.87492,                0.95027,              0.0013385,              0.0013385,              0.0013385
                     35,                 1.2282,                 1.4305,                0.84761,                0.94645,                0.75565,                0.62903,                0.69502,                0.45381,                0.71603,                0.59045,                 0.6479,                0.35968,                 1.2394,                  1.412,                0.87049,                0.94143,              0.0013356,              0.0013356,              0.0013356
                     36,                 1.2177,                 1.3967,                0.87262,                 0.9406,                0.69601,                0.66015,                0.69958,                0.44721,                 0.6664,                0.61823,                0.63872,                0.33818,                 1.2321,                 1.4601,                0.87512,                 0.9308,              0.0013328,              0.0013328,              0.0013328
                     37,                 1.2115,                 1.4247,                0.87839,                0.93726,                 0.7292,                0.61301,                0.68264,                 0.4346,                0.69506,                0.57116,                0.62956,                0.34556,                 1.2648,                 1.4745,                 0.8528,                0.93803,                0.00133,                0.00133,                0.00133
                     38,                 1.2182,                 1.4175,                0.85264,                0.93847,                0.75758,                0.61415,                0.69873,                0.46202,                0.72443,                0.58688,                0.65936,                0.36122,                  1.251,                 1.4719,                 0.8674,                0.93798,              0.0013271,              0.0013271,              0.0013271
                     39,                 1.2103,                 1.3833,                0.82523,                0.93971,                0.73498,                0.65407,                0.70654,                 0.4564,                0.69819,                0.61732,                0.65698,                0.35727,                  1.248,                 1.4543,                0.83895,                 0.9416,              0.0013243,              0.0013243,              0.0013243
                     40,                 1.1982,                 1.3878,                0.84126,                0.93087,                0.71412,                0.60776,                0.66288,                0.41668,                0.66582,                0.54623,                0.58098,                0.30547,                 1.3035,                 1.4807,                0.92397,                 0.9429,              0.0013215,              0.0013215,              0.0013215
                     41,                 1.2354,                 1.3928,                0.83433,                 0.9304,                0.71133,                0.60738,                0.67181,                0.43475,                0.69836,                 0.5594,                0.62766,                0.34601,                 1.2734,                 1.5221,                0.90458,                0.94503,              0.0013187,              0.0013187,              0.0013187
                     42,                 1.2003,                 1.4001,                0.83426,                0.92537,                0.72977,                0.62537,                0.70102,                0.45906,                0.69699,                0.58944,                0.64835,                0.35924,                 1.2309,                 1.4414,                0.84113,                0.93369,              0.0013158,              0.0013158,              0.0013158
                     43,                 1.2045,                 1.4227,                0.82146,                0.93674,                0.71331,                0.66696,                0.72466,                0.46355,                0.72714,                0.60305,                0.67597,                0.36343,                 1.2391,                 1.4822,                0.83777,                0.94082,               0.001313,               0.001313,               0.001313
                     44,                 1.2127,                 1.3943,                0.83984,                0.92867,                0.77509,                  0.624,                0.71345,                0.46256,                0.73889,                0.59298,                0.66803,                0.35786,                 1.2479,                 1.4659,                0.83581,                0.94383,              0.0013102,              0.0013102,              0.0013102
                     45,                 1.2078,                 1.3863,                0.82679,                 0.9404,                 0.7389,                0.65068,                0.71207,                0.46402,                0.71812,                0.60925,                0.68126,                0.37608,                 1.2267,                 1.4242,                0.85675,                0.93716,              0.0013073,              0.0013073,              0.0013073
                     46,                 1.2019,                 1.3857,                0.82626,                0.93432,                0.74287,                 0.6334,                0.69994,                0.44476,                0.71829,                0.59794,                0.64005,                0.32864,                 1.2821,                 1.4546,                0.84276,                 0.9479,              0.0013045,              0.0013045,              0.0013045
                     47,                 1.1964,                 1.4005,                0.81038,                0.92364,                0.73374,                0.62952,                0.69779,                0.43949,                0.73749,                0.59679,                0.66828,                0.35933,                 1.2534,                 1.4817,                0.85332,                0.95362,              0.0013017,              0.0013017,              0.0013017
                     48,                 1.1974,                 1.3888,                0.80111,                0.92918,                0.72186,                0.66841,                0.71191,                0.46642,                0.68306,                0.63675,                0.66586,                0.36099,                 1.2183,                 1.3959,                0.82102,                0.93946,              0.0012988,              0.0012988,              0.0012988
                     49,                 1.2127,                 1.4103,                  0.827,                0.93146,                0.72085,                 0.6578,                0.71421,                0.47779,                0.68071,                 0.6186,                0.66106,                0.35167,                 1.2083,                   1.43,                0.81569,                0.93472,               0.001296,               0.001296,               0.001296
                     50,                 1.2089,                 1.3951,                0.81469,                0.92918,                0.74244,                  0.654,                0.72254,                0.46811,                0.75977,                0.60051,                0.66524,                0.35865,                 1.2204,                  1.473,                0.81048,                0.93072,              0.0012932,              0.0012932,              0.0012932
                     51,                 1.2044,                  1.402,                0.80042,                 0.9259,                0.72758,                0.63406,                0.68606,                0.43605,                0.70059,                 0.6144,                0.66303,                0.34334,                 1.2522,                 1.4795,                0.84632,                0.94873,              0.0012904,              0.0012904,              0.0012904
                     52,                  1.193,                 1.3797,                0.79219,                0.92191,                0.73475,                0.68488,                0.72828,                0.47966,                0.73925,                0.62586,                 0.6848,                0.37251,                 1.1919,                 1.4369,                0.80571,                0.92898,              0.0012875,              0.0012875,              0.0012875
